name,state,population,lat,lon
New York city,New York,8478072,40.662712,-73.938677
Los Angeles city,California,3878704,34.019394,-118.410825
Chicago city,Illinois,2721308,41.837045,-87.684939
Houston city,Texas,2390125,29.785743,-95.388806
Phoenix city,Arizona,1673164,33.572154,-112.090132
Philadelphia city,Pennsylvania,1573916,40.009376,-75.133346
San Antonio city,Texas,1526656,29.462809,-98.524635
San Diego city,California,1404452,32.814977,-117.135562
Dallas city,Texas,1326087,32.793333,-96.766513
Jacksonville city,Florida,1009833,30.336864,-81.661603
Fort Worth city,Texas,1008106,32.781954,-97.348573
San Jose city,California,997368,37.296011,-121.814552
Austin city,Texas,993588,30.298622,-97.754134
Charlotte city,North Carolina,943476,35.209045,-80.83099
Columbus city,Ohio,933263,39.983938,-82.984882
Indianapolis city (balance),Indiana,891484,39.776664,-86.145935
San Francisco city,California,827526,37.727239,-123.032229
Seattle city,Washington,780995,47.619335,-122.351538
Denver city,Colorado,729019,39.76185,-104.881105
Oklahoma City city,Oklahoma,712919,35.467079,-97.513657
Nashville-Davidson metropolitan government (balance),Tennessee,704963,36.1718,-86.785002
Washington city,District of Columbia,702250,38.904247,-77.016517
El Paso city,Texas,681723,31.84778,-106.431106
Las Vegas city,Nevada,678922,36.233499,-115.264037
Boston city,Massachusetts,673458,42.338551,-71.018253
Detroit city,Michigan,645705,42.383037,-83.102237
Louisville/Jefferson County metro government (balance),Kentucky,640796,38.165376,-85.647377
Portland city,Oregon,635749,45.536951,-122.649971
Memphis city,Tennessee,610919,35.109164,-89.968511
Baltimore city,Maryland,568271,39.300032,-76.610476
Milwaukee city,Wisconsin,563531,43.063348,-87.966695
Albuquerque city,New Mexico,560326,35.10478,-106.646809
Tucson city,Arizona,554013,32.153036,-110.870773
Fresno city,California,550105,36.782684,-119.793359
Sacramento city,California,535798,38.567694,-121.468161
Atlanta city,Georgia,520070,33.762909,-84.422675
Mesa city,Arizona,517151,33.400626,-111.716487
Kansas City city,Missouri,516032,39.125155,-94.550313
Raleigh city,North Carolina,499825,35.831868,-78.641042
Colorado Springs city,Colorado,493554,38.867255,-104.760749
Omaha city,Nebraska,489265,41.262705,-96.053475
Miami city,Florida,487014,25.775163,-80.208615
Virginia Beach city,Virginia,454808,36.779525,-76.029142
Long Beach city,California,450901,33.780791,-118.16818
Oakland city,California,443554,37.769846,-122.22569
Minneapolis city,Minnesota,428579,44.963324,-93.26832
Bakersfield city,California,417468,35.353171,-119.037919
Tulsa city,Oklahoma,415154,36.127949,-95.902316
Tampa city,Florida,414547,27.970086,-82.479673
Arlington city,Texas,403672,32.700708,-97.124691
Aurora city,Colorado,403130,39.709537,-104.720509
Wichita city,Kansas,400991,37.690638,-97.345836
Cleveland city,Ohio,365379,41.478462,-81.679435
New Orleans city,Louisiana,362701,30.05342,-89.934502
Henderson city,Nevada,350039,36.008958,-115.0268
Urban Honolulu CDP,Hawaii,344967,21.324347,-157.84764
Anaheim city,California,344561,33.855502,-117.758657
Orlando city,Florida,334854,28.40865,-81.254805
